county,year,pop
5003,2006,22515
5003,2007,22258
5003,2008,22186
5003,2009,21941
5003,2010,21831
5003,2011,21656
5003,2012,21491
5003,2013,999999
5003,2014,999999
5005,2001,38417
5005,2002,38642
5005,2003,38943
5005,2004,39546
5005,2005,40237
5005,2006,41155
5005,2007,41845
5005,2008,41946
5005,2009,42157
5005,2010,41539
5005,2011,41280
5005,2012,41068
5005,2013,999999
5005,2014,999999
5007,2001,160429
5007,2002,167038
5007,2003,174785
5007,2004,183211
5007,2005,192183
5007,2006,201509
5007,2007,210963
5007,2008,219494
5007,2009,225504
5007,2010,222566
5007,2011,228788
5007,2012,234243
5007,2013,999999
5007,2014,999999
5009,2001,34253
5009,2002,34432
5009,2003,34507
5009,2004,34841
5009,2005,35408
5009,2006,35959
5009,2007,36653
5009,2008,36863
5009,2009,36821
5009,2010,36897
5009,2011,37055
5009,2012,37356
5009,2013,999999
5009,2014,999999
5011,2001,12487
5011,2002,12438
5011,2003,12395
5011,2004,12268
5011,2005,12196
5011,2006,11986
5011,2007,11964
5011,2008,11899
5011,2009,11790
5011,2010,11486
5011,2011,11445
5011,2012,11273
5011,2013,999999
5011,2014,999999
5013,2001,5580
5013,2002,5605
5013,2003,5564
5013,2004,5484
5013,2005,5535
5013,2006,5526
5013,2007,5473
5013,2008,5324
5013,2009,5196
5013,2010,5337
5013,2011,5288
5013,2012,5306
5013,2013,999999
5013,2014,999999
5015,2001,25678
5015,2002,25984
5015,2003,26279
5015,2004,26370
5015,2005,26821
5015,2006,27083
5015,2007,27278
5015,2008,27486
5015,2009,27938
5015,2010,27540
5015,2011,27443
5015,2012,27574
5015,2013,999999
5015,2014,999999
5017,2001,13769
5017,2002,13390
5017,2003,13180
5017,2004,12857
5017,2005,12720
5017,2006,12501
5017,2007,12308
5017,2008,12045
5017,2009,11823
5017,2010,11793
5017,2011,11683
5017,2012,11473
5017,2013,999999
5017,2014,999999
5019,2001,23654
5019,2002,23548
5019,2003,23294
5019,2004,23237
5019,2005,23209
5019,2006,23392
5019,2007,23684
5019,2008,23883
5019,2009,23835
5019,2010,22944
5019,2011,22943
5019,2012,22807
5019,2013,999999
5019,2014,999999
5021,2001,17256
5021,2002,16972
5021,2003,16769
5021,2004,16588
5021,2005,16483
5021,2006,16315
5021,2007,16068
5021,2008,15774
5021,2009,15585
5021,2010,16050
5021,2011,15827
5021,2012,15568
5021,2013,999999
5021,2014,999999
5023,2001,24188
